Video,Channel,Feature,Value,Label
8,FC6,Spectral spread,14.98839,0
29,O1,Spectral spread,11.423861,1
2,Fp2,Spectral spread,13.274239,0
32,P7,Spectral entropy,0.7403838,0
31,P4,Power bandwidth,18.315474,1
39,PO4,Average power,2.2192058e-08,0
30,F3,Power bandwidth,23.081831,1
27,F8,Average power,7.648008e-09,0
34,CP5,Max power spectrum,1.2555743,0
21,PO4,Spectral spread,11.799001,0
26,C3,Spectral centroid,14.051657,0
30,Fp2,Power bandwidth,22.331879,1
30,C3,Median frequency,11.31593,1
31,Oz,Max power spectrum,0.7170917,1
18,Oz,Median frequency,9.482716,0
27,F3,Spectral entropy,0.7268053,0
16,O1,Average power,1.0036959e-08,1
39,Cz,Spectral entropy,0.7262262,0
1,T7,Spectral centroid,23.52155,1
25,Fz,Average power,1.8504e-08,1
1,F7,Spectral centroid,13.920428,1
7,T8,Spectral centroid,15.786725,1
0,P3,Median frequency,10.232667,0
18,CP6,Spectral spread,12.960896,0
16,Cz,Spectral spread,12.776498,1
32,Oz,Max power spectrum,1.0243019,0
38,Cz,Average power,6.1887016e-09,1
12,FC6,Average power,6.0205188e-09,0
29,Fp2,Spectral entropy,0.68689364,1
29,P3,Spectral centroid,13.454255,1
3,Fp2,Power bandwidth,22.181889,0
24,Pz,Average power,9.799799e-09,1
13,Pz,Max power spectrum,1.4644911,1
13,P4,Average power,1.3562834e-08,1
2,Oz,Spectral centroid,13.30647,0
10,FC2,Max power spectrum,0.92905873,0
1,P8,Median frequency,11.365927,1
16,CP1,Average power,9.3124175e-09,1
31,F3,Spectral spread,11.246926,1
15,CP5,Max power spectrum,0.66456085,0
31,Fz,Max power spectrum,0.81085557,1
21,PO4,Max power spectrum,1.1981304,0
23,Cz,Spectral spread,11.051486,0
14,T8,Spectral spread,13.150253,0
37,FC5,Average power,7.155598e-09,0
29,FC6,Max power spectrum,0.9353532,1
14,C4,Spectral entropy,0.74069715,0
13,Cz,Spectral spread,15.623609,1
7,C3,Spectral entropy,0.71221244,1
9,Oz,Average power,9.270455e-09,0
20,P7,Spectral entropy,0.7150242,1
28,Oz,Median frequency,9.849359,1
8,Fz,Spectral entropy,0.73356575,0
23,Oz,Spectral spread,11.565006,0
4,P8,Max power spectrum,2.493377,1
19,FC6,Power bandwidth,21.881908,0
18,CP5,Average power,7.220492e-09,0
29,PO4,Max power spectrum,1.001793,1
15,O1,Spectral spread,12.231915,0
8,AF4,Power bandwidth,22.448538,0
27,O1,Spectral centroid,13.919676,0
37,P3,Spectral centroid,13.7624235,0
1,F3,Median frequency,9.666038,1
20,P3,Power bandwidth,18.548792,1
33,FC1,Average power,9.074411e-09,0
5,Cz,Spectral spread,11.820269,0
7,C4,Average power,5.930474e-09,1
24,CP2,Power bandwidth,20.998632,1
20,Fp1,Spectral entropy,0.7222722,1
9,O2,Median frequency,9.849359,0
37,AF3,Spectral spread,11.686168,0
5,Fz,Spectral entropy,0.7258248,0
16,PO4,Max power spectrum,0.6468157,1
7,AF3,Spectral entropy,0.71215636,1
17,AF3,Spectral entropy,0.7073175,0
16,O1,Spectral spread,12.072438,1
0,Cz,Max power spectrum,1.648008,0
6,CP1,Spectral spread,11.836481,1
2,P7,Spectral entropy,0.7695143,0
5,T8,Average power,8.22797e-09,0
39,C3,Spectral entropy,0.70655173,0
22,F3,Median frequency,10.29933,1
36,FC5,Spectral centroid,13.691228,1
20,F8,Median frequency,11.615911,1
20,F4,Spectral centroid,18.416637,1
0,PO3,Spectral spread,14.213976,0
38,AF3,Average power,7.0000423e-09,1
17,F8,Average power,7.892043e-09,0
3,FC1,Spectral entropy,0.73725116,0
21,CP5,Max power spectrum,0.6949412,0
14,F7,Spectral entropy,0.71922183,0
32,CP5,Spectral centroid,15.670811,0
21,P3,Max power spectrum,1.4711088,0
4,F4,Average power,1.1190704e-08,1
37,AF3,Median frequency,9.949352,0
29,O2,Max power spectrum,0.83699006,1
9,Fp2,Power bandwidth,20.048695,0
24,P4,Average power,1.9000897e-08,1
38,FC2,Median frequency,10.982618,1
26,CP2,Median frequency,10.44932,0
7,T8,Median frequency,11.565914,1
29,FC2,Max power spectrum,0.89677185,1
2,P8,Spectral centroid,15.48757,0
0,Fz,Spectral spread,14.867968,0
22,O2,Power bandwidth,20.78198,1
2,FC2,Spectral entropy,0.73658544,0
36,P7,Spectral centroid,16.539642,1
15,O2,Spectral centroid,13.254575,0
17,Pz,Spectral entropy,0.6975783,0
38,PO3,Spectral spread,11.616597,1
24,Fz,Power bandwidth,22.081896,1
0,PO3,Power bandwidth,20.382006,0
17,P8,Spectral entropy,0.7348684,0
28,FC5,Max power spectrum,1.3775676,1
26,CP6,Median frequency,10.532648,0
6,Oz,Median frequency,10.099342,1
7,FC6,Median frequency,10.849294,1
30,P7,Spectral spread,13.606596,1
10,CP5,Spectral centroid,14.750821,0
33,F8,Spectral entropy,0.6986138,0
33,T7,Spectral spread,14.524594,0
12,Pz,Max power spectrum,0.6990072,0
18,C3,Median frequency,11.049281,0
39,F8,Spectral spread,15.257142,0
36,AF4,Max power spectrum,1.1507428,1
37,CP2,Spectral centroid,14.604457,0
10,CP5,Spectral entropy,0.7445169,0
2,CP5,Spectral entropy,0.7408819,0
4,PO4,Median frequency,9.532713,1
7,CP2,Max power spectrum,0.7788641,1
14,PO3,Power bandwidth,20.681988,0
13,P8,Spectral entropy,0.7407343,1
9,Cz,Spectral entropy,0.7329135,0
23,F3,Spectral entropy,0.72681564,0
20,Fz,Power bandwidth,20.132023,1
20,P4,Spectral entropy,0.6734698,1
14,C4,Max power spectrum,0.7876618,0
39,FC1,Average power,9.134191e-09,0
1,Cz,Average power,5.5352674e-09,1
19,PO4,Power bandwidth,11.46592,0
36,PO4,Spectral entropy,0.6890912,1
20,P3,Max power spectrum,1.638484,1
24,FC2,Median frequency,10.949287,1
5,P7,Max power spectrum,0.7672411,0
22,O1,Spectral centroid,13.70823,1
25,CP6,Median frequency,11.349261,1
12,Fp2,Average power,7.649044e-09,0
29,P8,Spectral spread,12.03585,1
38,T8,Median frequency,10.3993225,1
4,C4,Max power spectrum,1.0394214,1
6,Fp2,Median frequency,10.14934,1
28,P7,Average power,1.1792658e-08,1
4,O1,Spectral entropy,0.7227102,1
28,P7,Max power spectrum,0.6740114,1
5,Fp1,Median frequency,10.232667,0
15,FC5,Spectral centroid,15.529477,0
0,FC6,Spectral centroid,16.550028,0
15,Fz,Spectral entropy,0.70967335,0
3,T7,Power bandwidth,39.897404,0
28,T8,Max power spectrum,0.826425,1
19,PO3,Average power,3.4881737e-08,0
30,CP1,Spectral spread,10.945452,1
12,P3,Spectral centroid,13.383838,0
19,CP5,Median frequency,10.315995,0
34,Fp1,Spectral entropy,0.65305114,0
17,O1,Median frequency,10.0326805,0
28,C4,Spectral centroid,14.405173,1
26,F4,Median frequency,10.14934,0
18,F4,Average power,1.4345197e-08,0
26,F4,Max power spectrum,0.86807936,0
36,C3,Max power spectrum,1.818128,1
23,P4,Power bandwidth,18.21548,0
16,F7,Median frequency,10.0326805,1
33,F7,Spectral entropy,0.70517963,0
5,CP6,Median frequency,10.915956,0
31,CP1,Median frequency,10.166005,1
15,C4,Spectral entropy,0.72025377,0
29,FC1,Spectral spread,11.897255,1
11,C3,Spectral spread,12.44134,1
4,Oz,Spectral centroid,14.305644,1
7,F3,Power bandwidth,21.315279,1
39,F4,Spectral entropy,0.72205985,0
9,CP6,Spectral centroid,15.606484,0
32,PO4,Average power,2.1685635e-08,0
5,F8,Average power,9.625632e-09,0
24,F3,Average power,8.2217095e-09,1
28,CP1,Average power,9.639378e-09,1
37,F4,Average power,1.1100053e-08,0
28,PO4,Median frequency,9.766031,1
22,Fp1,Average power,5.3212403e-09,1
38,P3,Average power,9.611395e-09,1
15,C3,Spectral centroid,15.137658,0
15,Oz,Power bandwidth,18.165483,0
13,FC2,Power bandwidth,20.63199,1
31,O2,Spectral spread,10.927547,1
10,O2,Spectral spread,14.512482,0
14,P8,Spectral entropy,0.74103975,0
22,O2,Spectral centroid,13.135236,1
29,CP2,Max power spectrum,1.163068,1
7,T7,Power bandwidth,40.080723,1
16,P8,Median frequency,10.782631,1
17,T8,Spectral spread,13.084907,0
5,Fp1,Average power,7.575491e-09,0
37,F4,Spectral entropy,0.7268188,0
16,FC5,Average power,6.6286625e-09,1
17,P7,Average power,1.0076133e-08,0
15,C3,Power bandwidth,21.748585,0
21,CP2,Spectral centroid,13.421036,0
37,Fz,Max power spectrum,0.8060652,0
7,C3,Average power,7.2187953e-09,1
5,FC1,Max power spectrum,0.5793278,0
5,F3,Power bandwidth,22.731853,0
19,P3,Spectral spread,13.484222,0
34,FC2,Spectral entropy,0.70827025,0
0,Oz,Spectral spread,15.4338665,0
36,CP6,Spectral spread,11.672201,1
37,O1,Max power spectrum,0.9551768,0
12,P4,Power bandwidth,16.682247,0
35,FC6,Spectral centroid,14.68993,1
39,CP6,Median frequency,10.89929,0
25,CP5,Spectral centroid,15.363618,1
25,C4,Spectral spread,12.465567,1
15,CP6,Spectral centroid,14.279287,0
36,FC6,Spectral entropy,0.7074396,1
11,F7,Spectral entropy,0.711012,1
32,AF4,Median frequency,9.749365,0
2,CP6,Power bandwidth,27.23156,0
16,AF4,Power bandwidth,22.415207,1
5,P3,Spectral entropy,0.68303406,0
11,O2,Spectral entropy,0.72287834,1
18,O1,Power bandwidth,16.51559,0
11,C4,Power bandwidth,25.181694,1
20,Fp1,Median frequency,10.699304,1
37,P3,Power bandwidth,20.581993,0
24,F7,Spectral centroid,13.945107,1
14,Fz,Spectral entropy,0.7492625,0
3,PO3,Median frequency,9.916021,0
38,FC1,Median frequency,11.082612,1
10,Fz,Average power,9.491291e-09,0
36,FC6,Average power,7.0627384e-09,1
32,FC1,Max power spectrum,0.78067505,0
19,PO3,Spectral centroid,13.371033,0
0,P4,Max power spectrum,0.85075456,0
20,Cz,Spectral centroid,13.595667,1
23,PO4,Spectral spread,10.25365,0
25,CP5,Median frequency,11.032615,1
1,PO3,Spectral entropy,0.71463966,1
2,Cz,Median frequency,10.515982,0
13,T8,Max power spectrum,0.7567075,1
8,F7,Spectral centroid,13.326289,0
26,FC5,Average power,6.9279094e-09,0
2,P8,Max power spectrum,0.91253763,0
7,CP1,Spectral spread,12.981922,1
25,Fz,Spectral entropy,0.698178,1
1,PO3,Average power,1.2063239e-08,1
16,Fp1,Max power spectrum,1.2121928,1
27,O1,Median frequency,9.982683,0
3,CP1,Max power spectrum,1.1250559,0
19,T8,Power bandwidth,23.781786,0
5,F3,Average power,1.1050481e-08,0
19,Pz,Spectral spread,11.952864,0
30,P4,Spectral spread,10.875971,1
3,PO3,Spectral centroid,13.024608,0
11,O2,Power bandwidth,20.048695,1
39,T8,Median frequency,10.7493,0
3,FC5,Spectral centroid,14.404034,0
34,Fp1,Median frequency,9.716034,0
33,C4,Average power,6.5948496e-09,0
21,CP1,Max power spectrum,1.1597482,0
9,O2,Power bandwidth,17.76551,0
34,O1,Spectral centroid,13.755695,0
36,F8,Spectral spread,13.327223,1
17,CP1,Max power spectrum,0.9607772,0
35,CP2,Spectral centroid,14.116871,1
24,AF4,Spectral entropy,0.7338056,1
20,P8,Average power,3.2160926e-08,1
14,C3,Spectral entropy,0.66838783,0
28,Pz,Spectral centroid,14.588635,1
4,F8,Spectral spread,12.478494,1
15,P7,Power bandwidth,22.515202,0
17,F4,Spectral spread,12.085797,0
26,P8,Median frequency,10.182671,0
13,FC6,Spectral spread,11.915171,1
20,P8,Spectral centroid,15.515325,1
12,CP5,Power bandwidth,22.098562,0
29,Fz,Power bandwidth,20.78198,1
34,P3,Power bandwidth,13.999088,0
6,Pz,Spectral spread,12.127998,1
13,PO3,Median frequency,10.066011,1
23,F4,Average power,1.2165572e-08,0
22,Pz,Median frequency,10.282664,1
9,P4,Median frequency,10.132673,0
39,CP5,Spectral spread,14.603655,0
23,PO3,Power bandwidth,18.548792,0
35,Oz,Median frequency,9.582709,1
33,Oz,Power bandwidth,20.465334,0
28,FC6,Median frequency,10.582644,1
29,P4,Spectral centroid,12.797522,1
7,FC6,Spectral centroid,14.933953,1
4,C4,Average power,6.3558128e-09,1
13,CP6,Spectral centroid,15.191696,1
2,PO4,Spectral entropy,0.7195179,0
35,T8,Spectral spread,13.209082,1
26,FC6,Average power,5.8533116e-09,0
5,AF4,Average power,1.2661445e-08,0
33,Fp2,Spectral spread,12.080731,0
3,F4,Spectral spread,13.219063,0
7,FC1,Spectral centroid,14.258115,1
16,CP6,Power bandwidth,21.898575,1
18,F7,Power bandwidth,16.848904,0
11,Cz,Median frequency,10.59931,1
25,Pz,Spectral entropy,0.68189996,1
3,O2,Max power spectrum,1.0341108,0
34,C4,Max power spectrum,1.3087105,0
38,CP1,Spectral entropy,0.71996117,1
12,AF4,Spectral spread,13.036204,0
24,PO3,Average power,1.6998639e-08,1
25,Fp2,Spectral centroid,14.9884,1
5,O1,Power bandwidth,21.64859,0
8,Fz,Average power,1.2012901e-08,0
15,P3,Power bandwidth,19.19875,0
3,C4,Spectral spread,13.004022,0
14,PO4,Spectral spread,10.453536,0
14,P4,Median frequency,10.14934,0
32,FC1,Spectral centroid,13.648946,0
39,P4,Power bandwidth,16.06562,0
3,P7,Spectral centroid,15.456289,0
11,AF4,Power bandwidth,22.865177,1
35,Pz,Power bandwidth,20.482,1
12,C4,Max power spectrum,0.57285273,0
33,FC5,Max power spectrum,0.92890894,0
19,P7,Max power spectrum,1.5922252,0
8,P8,Median frequency,11.049281,0
0,Oz,Spectral centroid,14.570231,0
32,F8,Spectral centroid,14.021968,0
32,P8,Power bandwidth,25.881649,0
33,O1,Max power spectrum,0.7534096,0
13,P3,Spectral spread,13.743255,1
7,Fz,Max power spectrum,1.2125996,1
36,C4,Spectral spread,13.709465,1
11,P8,Spectral centroid,14.236492,1
1,CP1,Average power,5.0842774e-09,1
15,Cz,Median frequency,10.382657,0
5,FC2,Spectral spread,14.400611,0
17,CP6,Spectral entropy,0.7404351,0
