Video,Channel,Feature,Value,Label
8,C4,Spectral spread,17.48947,1
29,Oz,Spectral spread,15.361383,0
2,P8,Spectral spread,14.02466,0
32,P3,Spectral entropy,0.63070434,0
31,Fz,Power bandwidth,33.847797,0
39,AF4,Average power,2.6642588e-09,1
30,F7,Power bandwidth,28.1815,0
27,CP2,Average power,3.1524459e-09,1
34,CP1,Max power spectrum,1.1998979,0
21,AF4,Spectral spread,13.437094,1
26,T7,Spectral centroid,17.29334,1
30,P8,Power bandwidth,29.23143,0
30,T7,Median frequency,12.549183,0
31,Pz,Max power spectrum,1.3033986,0
18,Pz,Median frequency,11.349261,1
27,F7,Spectral entropy,0.7178908,1
16,Oz,Average power,6.4388956e-09,0
39,O2,Spectral entropy,0.63181543,1
1,C3,Spectral centroid,10.513021,0
25,PO4,Average power,1.8018869e-09,1
1,F3,Spectral centroid,16.7034,0
7,Cz,Spectral centroid,13.92485,0
0,P7,Median frequency,1.5998958,1
18,F8,Spectral spread,14.178283,1
16,O2,Spectral spread,13.810731,0
32,Pz,Max power spectrum,2.6847398,0
38,O2,Average power,7.67133e-09,1
12,C4,Average power,2.6390385e-08,1
29,P8,Spectral entropy,0.7557184,0
29,P7,Spectral centroid,17.273558,0
3,P8,Power bandwidth,24.915045,1
24,PO3,Average power,8.909611e-09,0
13,PO3,Max power spectrum,1.7752895,0
13,Fz,Average power,6.1213634e-09,0
2,Pz,Spectral centroid,15.173737,0
10,T8,Max power spectrum,1.6805226,1
1,F4,Median frequency,11.31593,0
16,CP5,Average power,4.330195e-09,0
31,F7,Spectral spread,14.622332,0
15,CP1,Max power spectrum,0.9003069,1
31,PO4,Max power spectrum,0.84309316,0
21,AF4,Max power spectrum,2.2084403,1
23,O2,Spectral spread,14.088125,0
14,Cz,Spectral spread,13.9340315,0
37,FC1,Average power,6.0216134e-09,1
29,C4,Max power spectrum,2.4302108,0
14,FC2,Spectral entropy,0.48874763,0
13,O2,Spectral spread,13.694286,0
7,T7,Spectral entropy,0.63853925,0
9,Pz,Average power,2.3027713e-09,1
20,P3,Spectral entropy,0.6313233,1
28,Pz,Median frequency,10.415989,0
8,PO4,Spectral entropy,0.6454667,1
23,Pz,Spectral spread,13.215318,0
4,F4,Max power spectrum,3.625226,0
19,C4,Power bandwidth,22.081896,0
18,CP1,Average power,2.6326312e-09,1
29,AF4,Max power spectrum,2.5350478,0
15,Oz,Spectral spread,12.813611,1
8,P4,Power bandwidth,38.647484,1
27,Oz,Spectral centroid,13.445756,1
37,P7,Spectral centroid,14.447973,1
1,F7,Median frequency,13.282469,0
20,P7,Power bandwidth,26.681597,1
33,FC5,Average power,8.832294e-08,1
5,O2,Spectral spread,15.181081,1
7,FC2,Average power,2.7730824e-08,0
24,FC6,Power bandwidth,18.03216,0
20,Fp1,Spectral entropy,0.68444455,1
9,Fp2,Median frequency,12.965822,1
37,AF3,Spectral spread,13.377917,1
5,PO4,Spectral entropy,0.7544542,1
16,AF4,Max power spectrum,1.8710148,0
7,AF3,Spectral entropy,0.4947735,0
17,AF3,Spectral entropy,0.7529329,1
16,Oz,Spectral spread,12.548205,0
0,O2,Max power spectrum,4.094414,1
6,CP5,Spectral spread,13.910739,1
2,P3,Spectral entropy,0.68122953,0
5,Cz,Average power,8.759866e-09,1
39,T7,Spectral entropy,0.72248816,1
22,F7,Median frequency,24.565067,1
36,FC1,Spectral centroid,17.415098,1
20,CP2,Median frequency,16.815573,1
20,CP6,Spectral centroid,17.8803,1
0,O1,Spectral spread,11.564967,1
38,AF3,Average power,3.7704124e-09,1
17,CP2,Average power,7.4054056e-09,1
3,FC5,Spectral entropy,0.5375406,1
21,CP1,Max power spectrum,1.0140932,1
14,F3,Spectral entropy,0.67471516,0
32,CP1,Spectral centroid,15.806018,0
21,P7,Max power spectrum,1.6600726,1
4,CP6,Average power,2.3695128e-07,0
37,AF3,Median frequency,14.115747,1
29,Fp2,Max power spectrum,1.4231429,0
9,P8,Power bandwidth,28.714798,1
24,Fz,Average power,2.8835936e-09,0
38,T8,Median frequency,17.198881,1
26,FC6,Median frequency,11.382592,1
7,Cz,Median frequency,10.665973,0
29,T8,Max power spectrum,1.7327138,0
2,F4,Spectral centroid,16.641811,0
0,PO4,Spectral spread,14.775929,1
22,Fp2,Power bandwidth,1.116594,1
