Video,Channel,Feature,Value,Label
8,C4,Spectral spread,11.677326,1
29,Oz,Spectral spread,11.536159,0
2,P8,Spectral spread,14.135374,0
32,P3,Spectral entropy,0.7404335,0
31,Fz,Power bandwidth,22.331879,0
39,AF4,Average power,1.1623413e-08,1
30,F7,Power bandwidth,30.398022,0
27,CP2,Average power,6.7515225e-09,1
34,CP1,Max power spectrum,0.75286144,1
21,AF4,Spectral spread,13.135318,0
26,T7,Spectral centroid,15.905294,1
30,P8,Power bandwidth,22.481869,0
30,T7,Median frequency,12.949157,0
31,Pz,Max power spectrum,1.1992502,0
18,Pz,Median frequency,12.599179,0
27,F7,Spectral entropy,0.7632052,1
16,Oz,Average power,1.1941842e-08,0
39,O2,Spectral entropy,0.75625896,1
1,C3,Spectral centroid,18.250912,1
25,PO4,Average power,1.283885e-08,0
1,F3,Spectral centroid,21.277641,1
7,Cz,Spectral centroid,15.296621,0
0,P7,Median frequency,14.582384,1
18,F8,Spectral spread,16.122398,0
16,O2,Spectral spread,14.826899,0
32,Pz,Max power spectrum,1.0562422,0
38,O2,Average power,1.7092521e-08,0
12,C4,Average power,7.1599664e-09,0
29,P8,Spectral entropy,0.75709283,0
29,P7,Spectral centroid,14.876415,0
3,P8,Power bandwidth,31.847927,1
24,PO3,Average power,1.0538724e-08,0
13,PO3,Max power spectrum,0.71789265,0
13,Fz,Average power,1.2943615e-08,0
2,Pz,Spectral centroid,16.2695,0
10,T8,Max power spectrum,0.75963014,0
1,F4,Median frequency,15.832303,1
16,CP5,Average power,8.01089e-09,0
31,F7,Spectral spread,14.61841,0
15,CP1,Max power spectrum,0.49470028,1
31,PO4,Max power spectrum,1.0349112,0
21,AF4,Max power spectrum,1.2035093,0
23,O2,Spectral spread,11.216643,0
14,Cz,Spectral spread,14.50303,1
37,FC1,Average power,1.0122225e-08,0
29,C4,Max power spectrum,0.7632135,0
14,FC2,Spectral entropy,0.7600018,1
13,O2,Spectral spread,13.019013,0
7,T7,Spectral entropy,0.76447093,0
9,Pz,Average power,1.1184796e-08,1
20,P3,Spectral entropy,0.74930435,0
28,Pz,Median frequency,12.482521,0
8,PO4,Spectral entropy,0.74008584,1
23,Pz,Spectral spread,10.668944,0
4,F4,Max power spectrum,2.259775,0
19,C4,Power bandwidth,26.96491,0
18,CP1,Average power,7.2680244e-09,0
29,AF4,Max power spectrum,1.0160571,0
15,Oz,Spectral spread,12.77196,1
8,P4,Power bandwidth,24.115097,1
27,Oz,Spectral centroid,15.179026,1
37,P7,Spectral centroid,15.681007,0
1,F7,Median frequency,19.532063,1
20,P7,Power bandwidth,25.515005,0
33,FC5,Average power,8.425791e-09,1
5,O2,Spectral spread,13.185738,1
7,FC2,Average power,1.0723534e-08,0
24,FC6,Power bandwidth,31.014648,0
20,Fp1,Spectral entropy,0.7718982,0
9,Fp2,Median frequency,12.782501,1
37,AF3,Spectral spread,13.24347,0
5,PO4,Spectral entropy,0.74468523,1
16,AF4,Max power spectrum,1.3395836,0
7,AF3,Spectral entropy,0.8051989,0
17,AF3,Spectral entropy,0.7949664,1
16,Oz,Spectral spread,13.7702675,0
0,O2,Max power spectrum,0.8305675,1
6,CP5,Spectral spread,14.276732,0
2,P3,Spectral entropy,0.73861986,0
5,Cz,Average power,1.01174775e-08,1
39,T7,Spectral entropy,0.7635097,1
22,F7,Median frequency,12.4991865,1
36,FC1,Spectral centroid,15.580344,0
20,CP2,Median frequency,12.715838,0
20,CP6,Spectral centroid,16.369627,0
0,O1,Spectral spread,15.639331,1
38,AF3,Average power,1.2691301e-08,0
17,CP2,Average power,6.9918165e-09,1
3,FC5,Spectral entropy,0.79516125,1
21,CP1,Max power spectrum,1.5163578,0
14,F3,Spectral entropy,0.76507497,1
32,CP1,Spectral centroid,16.308804,0
21,P7,Max power spectrum,1.1318215,0
4,CP6,Average power,9.187491e-09,0
37,AF3,Median frequency,15.265673,0
29,Fp2,Max power spectrum,0.80037606,0
9,P8,Power bandwidth,24.231756,1
24,Fz,Average power,1.3237749e-08,0
38,T8,Median frequency,16.682247,0
26,FC6,Median frequency,13.582449,1
7,Cz,Median frequency,12.582514,0
29,T8,Max power spectrum,0.9153522,0
2,F4,Spectral centroid,17.035194,0
0,PO4,Spectral spread,14.426253,1
22,Fp2,Power bandwidth,28.048174,1
2,T8,Spectral entropy,0.8051177,0
36,P3,Spectral centroid,17.410168,0
15,Fp2,Spectral centroid,16.011354,1
17,PO3,Spectral entropy,0.7399973,1
38,O1,Spectral spread,15.822512,0
24,PO4,Power bandwidth,23.698458,0
0,O1,Power bandwidth,33.964455,1
17,F4,Spectral entropy,0.74897623,1
28,FC1,Max power spectrum,0.9756432,0
26,F8,Median frequency,12.599179,1
6,Pz,Median frequency,12.649177,0
7,C4,Median frequency,13.032485,0
30,P3,Spectral spread,16.079552,0
10,CP1,Spectral centroid,15.478912,0
33,CP2,Spectral entropy,0.7494379,1
33,C3,Spectral spread,11.294235,1
12,PO3,Max power spectrum,0.6513054,0
18,T7,Median frequency,12.565848,0
39,CP2,Spectral spread,12.460035,1
36,P4,Max power spectrum,0.5388366,0
37,FC6,Spectral centroid,17.583723,0
10,CP1,Spectral entropy,0.7279712,0
2,CP1,Spectral entropy,0.7287715,0
4,AF4,Median frequency,18.415468,0
7,FC6,Max power spectrum,1.3516045,0
14,O1,Power bandwidth,25.198359,1
13,F4,Spectral entropy,0.74553597,0
