Video,Channel,Feature,Value,Label
8,C4,Spectral spread,11.71307,0
29,Oz,Spectral spread,11.974187,1
2,P8,Spectral spread,14.056536,1
32,P3,Spectral entropy,0.7466286,1
31,Fz,Power bandwidth,23.565132,0
39,AF4,Average power,1.0406433e-08,0
30,F7,Power bandwidth,27.514875,1
27,CP2,Average power,7.457108e-09,0
34,CP1,Max power spectrum,1.310945,1
21,AF4,Spectral spread,14.171273,0
26,T7,Spectral centroid,17.128782,0
30,P8,Power bandwidth,26.681597,1
30,T7,Median frequency,14.082417,1
31,Pz,Max power spectrum,1.2177266,0
18,Pz,Median frequency,10.915956,1
27,F7,Spectral entropy,0.69885707,0
16,Oz,Average power,8.4431475e-09,0
39,O2,Spectral entropy,0.754958,0
1,C3,Spectral centroid,16.17819,1
25,PO4,Average power,6.9140698e-09,1
1,F3,Spectral centroid,17.160334,1
7,Cz,Spectral centroid,15.649184,1
0,P7,Median frequency,12.349196,0
18,F8,Spectral spread,15.649702,1
16,O2,Spectral spread,14.447046,0
32,Pz,Max power spectrum,1.4398041,1
38,O2,Average power,7.7988105e-09,0
12,C4,Average power,5.4320672e-09,1
29,P8,Spectral entropy,0.74213755,1
29,P7,Spectral centroid,16.535952,1
3,P8,Power bandwidth,27.164898,1
24,PO3,Average power,9.321958e-09,0
13,PO3,Max power spectrum,1.2474433,0
13,Fz,Average power,8.855587e-09,0
2,Pz,Spectral centroid,14.620818,1
10,T8,Max power spectrum,2.0053978,0
1,F4,Median frequency,8.932752,1
16,CP5,Average power,7.1680195e-09,0
31,F7,Spectral spread,12.814406,0
15,CP1,Max power spectrum,1.0684816,1
31,PO4,Max power spectrum,1.9285733,0
21,AF4,Max power spectrum,4.7474566,0
23,O2,Spectral spread,13.199742,0
14,Cz,Spectral spread,14.745918,1
37,FC1,Average power,6.926886e-09,1
29,C4,Max power spectrum,0.9394991,1
14,FC2,Spectral entropy,0.7353826,1
13,O2,Spectral spread,12.760137,0
7,T7,Spectral entropy,0.7393009,1
9,Pz,Average power,1.10521725e-08,0
20,P3,Spectral entropy,0.618739,0
28,Pz,Median frequency,11.082612,1
8,PO4,Spectral entropy,0.73293096,0
23,Pz,Spectral spread,14.949326,0
4,F4,Max power spectrum,2.8172898,0
19,C4,Power bandwidth,24.948376,0
18,CP1,Average power,6.1649743e-09,1
29,AF4,Max power spectrum,2.966559,1
15,Oz,Spectral spread,14.659739,1
8,P4,Power bandwidth,24.481739,0
27,Oz,Spectral centroid,16.43465,0
37,P7,Spectral centroid,16.195496,1
1,F7,Median frequency,9.882689,1
20,P7,Power bandwidth,24.998373,0
33,FC5,Average power,1.7119975e-08,0
5,O2,Spectral spread,15.258,0
7,FC2,Average power,5.0984643e-09,1
24,FC6,Power bandwidth,26.948246,0
20,Fp1,Spectral entropy,0.6759123,0
9,Fp2,Median frequency,8.366122,0
37,AF3,Spectral spread,15.243033,1
5,PO4,Spectral entropy,0.74597955,0
16,AF4,Max power spectrum,2.0094144,0
7,AF3,Spectral entropy,0.621554,1
17,AF3,Spectral entropy,0.68080324,1
16,Oz,Spectral spread,13.029123,0
0,O2,Max power spectrum,0.7343381,0
6,CP5,Spectral spread,12.661826,0
2,P3,Spectral entropy,0.7412144,1
5,Cz,Average power,6.4465437e-09,0
39,T7,Spectral entropy,0.7355201,0
22,F7,Median frequency,20.065361,1
36,FC1,Spectral centroid,14.421724,0
20,CP2,Median frequency,11.249268,0
20,CP6,Spectral centroid,16.945045,0
0,O1,Spectral spread,13.511017,0
38,AF3,Average power,7.2935027e-09,0
17,CP2,Average power,4.6156345e-09,1
3,FC5,Spectral entropy,0.6643663,1
21,CP1,Max power spectrum,1.6150537,0
14,F3,Spectral entropy,0.75608045,1
32,CP1,Spectral centroid,15.045645,1
21,P7,Max power spectrum,1.7094601,0
4,CP6,Average power,4.971729e-09,0
37,AF3,Median frequency,11.165939,1
29,Fp2,Max power spectrum,2.4477823,1
9,P8,Power bandwidth,23.231821,0
24,Fz,Average power,7.2940343e-09,0
38,T8,Median frequency,11.532582,0
26,FC6,Median frequency,12.132544,0
7,Cz,Median frequency,12.949157,1
29,T8,Max power spectrum,1.0324353,1
2,F4,Spectral centroid,17.255257,1
0,PO4,Spectral spread,14.595623,0
22,Fp2,Power bandwidth,18.165483,1
2,T8,Spectral entropy,0.72304237,1
36,P3,Spectral centroid,14.656788,0
15,Fp2,Spectral centroid,15.161517,1
17,PO3,Spectral entropy,0.71803707,1
38,O1,Spectral spread,14.831806,0
24,PO4,Power bandwidth,24.415077,0
0,O1,Power bandwidth,30.63134,0
17,F4,Spectral entropy,0.7193174,1
28,FC1,Max power spectrum,1.3740795,1
26,F8,Median frequency,13.849098,0
6,Pz,Median frequency,10.732635,0
7,C4,Median frequency,11.899225,1
30,P3,Spectral spread,13.227553,1
10,CP1,Spectral centroid,14.648208,0
33,CP2,Spectral entropy,0.7682967,0
33,C3,Spectral spread,16.354317,0
12,PO3,Max power spectrum,1.4625525,1
18,T7,Median frequency,11.615911,1
39,CP2,Spectral spread,11.408996,0
36,P4,Max power spectrum,0.66588813,0
