Video,Channel,Feature,Value,Label
8,FC6,Spectral spread,14.34192,1
29,O1,Spectral spread,17.102272,0
2,Fp2,Spectral spread,13.84065,1
32,P7,Spectral entropy,0.7213153,0
31,P4,Power bandwidth,20.648655,1
39,PO4,Average power,1.1636874e-08,0
30,F3,Power bandwidth,21.865244,0
27,F8,Average power,2.121528e-08,0
34,CP5,Max power spectrum,0.4262381,1
21,PO4,Spectral spread,11.480533,0
26,C3,Spectral centroid,17.076668,1
30,Fp2,Power bandwidth,8.44945,0
30,C3,Median frequency,11.782566,0
31,Oz,Max power spectrum,0.7975171,1
18,Oz,Median frequency,12.282534,0
27,F3,Spectral entropy,0.7650658,0
16,O1,Average power,1.3646919e-08,0
39,Cz,Spectral entropy,0.73049635,0
1,T7,Spectral centroid,22.327028,1
25,Fz,Average power,9.267771e-09,0
1,F7,Spectral centroid,13.897553,1
7,T8,Spectral centroid,14.464386,1
0,P3,Median frequency,9.882689,1
18,CP6,Spectral spread,11.667005,0
16,Cz,Spectral spread,11.988629,0
32,Oz,Max power spectrum,1.2737468,0
38,Cz,Average power,7.905877e-09,0
12,FC6,Average power,2.3162423e-08,0
29,Fp2,Spectral entropy,0.5795338,0
29,P3,Spectral centroid,15.015815,0
3,Fp2,Power bandwidth,1.3499122,0
24,Pz,Average power,7.221389e-09,1
13,Pz,Max power spectrum,1.4104376,0
13,P4,Average power,7.2832083e-09,0
2,Oz,Spectral centroid,12.669183,1
10,FC2,Max power spectrum,1.6773909,0
1,P8,Median frequency,11.58258,1
16,CP1,Average power,1.3247746e-08,0
31,F3,Spectral spread,16.72596,1
15,CP5,Max power spectrum,0.64179385,0
31,Fz,Max power spectrum,0.6584447,1
21,PO4,Max power spectrum,4.397079,0
23,Cz,Spectral spread,11.1234255,0
14,T8,Spectral spread,17.356401,1
37,FC5,Average power,1.2492417e-08,0
29,FC6,Max power spectrum,1.2698965,0
14,C4,Spectral entropy,0.7709,1
13,Cz,Spectral spread,13.036371,0
7,C3,Spectral entropy,0.8208733,1
9,Oz,Average power,1.5168292e-08,1
20,P7,Spectral entropy,0.531808,0
28,Oz,Median frequency,11.532582,0
8,Fz,Spectral entropy,0.6395296,1
23,Oz,Spectral spread,11.623705,0
4,P8,Max power spectrum,1.321053,0
19,FC6,Power bandwidth,21.481936,0
18,CP5,Average power,6.6962262e-09,0
