Video,Channel,Feature,Value,Label
8,FC6,Spectral spread,15.879096,0
29,O1,Spectral spread,12.526057,0
2,Fp2,Spectral spread,14.184373,0
32,P7,Spectral entropy,0.7125045,1
31,P4,Power bandwidth,20.198685,0
39,PO4,Average power,5.437661e-09,1
30,F3,Power bandwidth,20.398672,1
27,F8,Average power,6.835133e-09,0
34,CP5,Max power spectrum,0.9979733,0
21,PO4,Spectral spread,16.131859,1
26,C3,Spectral centroid,13.320864,1
30,Fp2,Power bandwidth,30.847992,1
30,C3,Median frequency,10.315995,1
31,Oz,Max power spectrum,0.87298703,0
18,Oz,Median frequency,10.099342,0
27,F3,Spectral entropy,0.64460045,0
16,O1,Average power,5.8407568e-09,1
39,Cz,Spectral entropy,0.70883006,1
1,T7,Spectral centroid,18.025827,1
25,Fz,Average power,2.7472338e-09,0
1,F7,Spectral centroid,16.478256,1
7,T8,Spectral centroid,15.364973,0
0,P3,Median frequency,8.716099,0
18,CP6,Spectral spread,13.052061,0
16,Cz,Spectral spread,18.437555,1
32,Oz,Max power spectrum,1.1348133,1
38,Cz,Average power,8.646701e-10,1
12,FC6,Average power,1.4347467e-09,1
29,Fp2,Spectral entropy,0.72492915,0
29,P3,Spectral centroid,12.05192,0
3,Fp2,Power bandwidth,27.281557,1
24,Pz,Average power,4.446626e-09,1
13,Pz,Max power spectrum,0.81395745,1
13,P4,Average power,6.9011925e-09,1
2,Oz,Spectral centroid,14.686087,0
10,FC2,Max power spectrum,1.5431582,0
1,P8,Median frequency,14.465725,1
16,CP1,Average power,1.7423261e-09,1
31,F3,Spectral spread,12.603053,0
15,CP5,Max power spectrum,1.0253401,0
31,Fz,Max power spectrum,2.2206485,0
21,PO4,Max power spectrum,1.255517,1
23,Cz,Spectral spread,14.460681,0
14,T8,Spectral spread,13.974803,1
37,FC5,Average power,1.8270329e-09,0
29,FC6,Max power spectrum,1.2993138,0
14,C4,Spectral entropy,0.7306005,1
13,Cz,Spectral spread,13.488949,1
7,C3,Spectral entropy,0.6509975,0
9,Oz,Average power,4.5422124e-09,0
20,P7,Spectral entropy,0.7767736,1
28,Oz,Median frequency,10.44932,0
8,Fz,Spectral entropy,0.6958034,0
23,Oz,Spectral spread,13.223286,0
4,P8,Max power spectrum,1.2459484,0
19,FC6,Power bandwidth,24.281752,1
18,CP5,Average power,1.894086e-09,0
29,PO4,Max power spectrum,1.1975284,0
15,O1,Spectral spread,14.003249,0
8,AF4,Power bandwidth,21.681921,0
27,O1,Spectral centroid,13.484748,0
37,P3,Spectral centroid,12.167442,0
1,F3,Median frequency,5.266324,1
20,P3,Power bandwidth,17.565523,1
33,FC1,Average power,1.1647568e-09,1
5,Cz,Spectral spread,15.122723,1
7,C4,Average power,2.861412e-09,0
24,CP2,Power bandwidth,22.21522,1
20,Fp1,Spectral entropy,0.69340736,1
9,O2,Median frequency,10.265998,0
37,AF3,Spectral spread,14.625099,0
5,Fz,Spectral entropy,0.7017547,1
16,PO4,Max power spectrum,2.6308777,1
7,AF3,Spectral entropy,0.702885,0
17,AF3,Spectral entropy,0.6995524,0
16,O1,Spectral spread,17.544867,1
0,Cz,Max power spectrum,1.4008305,0
6,CP1,Spectral spread,12.2795,1
2,P7,Spectral entropy,0.6995973,0
5,T8,Average power,1.5713698e-09,1
39,C3,Spectral entropy,0.72819364,1
22,F3,Median frequency,8.599441,1
36,FC5,Spectral centroid,14.098198,0
20,F8,Median frequency,7.3828526,1
20,F4,Spectral centroid,15.932629,1
0,PO3,Spectral spread,14.606837,0
38,AF3,Average power,2.6676639e-09,1
17,F8,Average power,1.3990084e-08,0
3,FC1,Spectral entropy,0.7290712,1
21,CP5,Max power spectrum,1.4849558,1
14,F7,Spectral entropy,0.67297965,1
32,CP5,Spectral centroid,15.2168665,1
21,P3,Max power spectrum,2.7627137,1
4,F4,Average power,1.45828e-08,0
37,AF3,Median frequency,10.265998,0
29,O2,Max power spectrum,1.1530244,0
9,Fp2,Power bandwidth,22.865177,0
24,P4,Average power,6.345988e-09,1
38,FC2,Median frequency,11.58258,1
26,CP2,Median frequency,10.3993225,1
7,T8,Median frequency,11.382592,0
29,FC2,Max power spectrum,2.7797954,0
2,P8,Spectral centroid,16.83517,0
0,Fz,Spectral spread,12.762953,0
22,O2,Power bandwidth,23.94844,1
2,FC2,Spectral entropy,0.7207563,0
36,P7,Spectral centroid,15.853336,0
15,O2,Spectral centroid,14.567639,0
17,Pz,Spectral entropy,0.72617924,0
38,PO3,Spectral spread,17.133688,1
24,Fz,Power bandwidth,23.581799,1
0,PO3,Power bandwidth,22.998503,0
17,P8,Spectral entropy,0.7603734,0
28,FC5,Max power spectrum,1.2530943,0
